05:00:35:217;NOT NAMED;00;118.5;119.8;1;0;369970637;0;128;6.8;0;-117.984573;33.434560;353;511;58;0;0;0;0;4;22
05:00:35:259;KELLY C;31;99.05;119.2;3;0;367693690;0;0;5.3;0;-118.251512;33.607238;178;189;0;0;0;0;0;738;0
05:00:35:279;KAMA HELE;0;30.65;115.9;18;0;338117356;0;0;0;-119.223212;34.183168;293.5;511;2;0;1;0;1;1;0;0;1;1
05:00:35:313;ATHENS HIGHWAY;70;732.7;146.4;1;0;432930000;0;0;16.4;1;-113.575217;25.216850;321;320;2;0;0;0;0;2;1
05:00:35:334;ISLAND ADVENTURE;60;26.55;111.2;1;0;366899260;0;128;0;0;-119.264927;34.244535;115;511;4;0;0;0;0;2;1
05:00:35:347;CARNIVAL INSPIRATION;69;196.1;134.9;1;0;309484000;0;0;15.2;1;-117.502227;32.234230;321.6;322;5;0;0;0;0;6;2
05:00:35:353;RUBEN LASKER;90;67.83;244;3;0;369970573;3;127;1.1;1;-120.708278;33.909283;7;342;10;0;0;0;0;251;0
05:00:37:684;SPECTRE;60;26.68;111.4;3;0;367315630;5;128;0;1;-119.263808;34.242363;0;511;9;0;0;1;0;5303;5
05:00:37:697;CARNIVAL IMAGINATION;69;124.1;126.1;1;0;309933000;0;0;8.2;1;-118.061955;33.222388;159;157;9;0;0;0;0;1;22
05:00:37:702;SUEZ CANAL;71;276.9;270.7;1;0;636092654;0;0;13.2;1;-124.545700;34.467200;271;273;7;0;0;0;0;0;22
05:00:37:731;ANL WARRAGUL;70;115.4;123.8;1;0;636091912;0;0;10.7;0;-118.120537;33.358490;159.4;160;10;0;0;0;0;6;3
05:00:37:758;24;0;338071811;0;SHANTI;0;;;0;0;0;0;0
05:00:37:759;NIKOLAOS A;70;91.21;125.7;1;0;538005791;0;0;13;1;-118.483770;33.542652;271.3;273;12;0;0;0;0;4;4
05:00:40:289;CAPT.T.LE;42;32.94;118.2;1;0;367104030;15;128;0;0;-119.202190;34.148247;310.1;511;16;0;0;0;0;3;
05:00:40:304;INDEPENDENCE;99;32.38;118.1;3;0;338955000;5;0;0;0;-119.210007;34.153278;137.4;155;14;0;0;1;0;5335;5
05:00:40:312;SAMSARA;80;311;145.6;1;0;249820000;0;0;7.7;0;-117.020932;30.508160;167.5;170;15;0;0;0;0;7;
05:00:40:317;SEA VENTURE;90;32.59;118.2;3;0;303422000;5;0;0;1;-119.206960;34.151485;290.5;88;17;0;0;0;0;0;0
05:00:40:322;MAERSK EDINBURGH;74;81.06;120.5;1;0;219033000;0;0;12;0;-118.531593;33.728330;300.9;300;17;0;0;0;0;3;1
05:00:42:854;LEICESTER;80;126.5;124.8;1;0;538007181;0;3;11.7;1;-117.997530;33.232413;340.9;340;16;0;0;0;0;3;1
05:00:42:877;CARNIVAL INSPIRATION;69;196;134.9;1;0;309484000;0;0;15.2;1;-117.502912;32.234947;321.2;322;18;0;0;0;0;0;22
05:00:42:882;RUBEN LASKER;90;67.83;244;3;0;369970573;3;0;0.9;1;-120.708275;33.909337;11;343;19;0;0;0;0;303;0
05:00:42:897;SUEZ CANAL;71;276.9;270.7;1;0;636092654;0;0;13.2;1;-124.546450;34.467217;271;272;18;0;0;0;0;1;22
05:00:42:924;RICKMERS DALIAN;79;25.36;146.2;1;0;538090156;0;0;11;1;-119.471167;34.086833;105;105;18;1;0;0;1;7;
05:00:45:698;KELLY C;31;99.07;119.2;1;0;367693690;0;0;5.3;0;-118.251528;33.606768;182.1;189;20;0;0;0;0;7;1
05:00:45:718;ISLAND EXPLORER;60;26.58;111.2;1;0;367565750;0;0;0;1;-119.264430;34.244612;328.7;248;22;0;0;1;0;3;
05:00:45:731;MIKMAWI;0;19.05;152.7;18;0;238537240;0;2.4;0;-119.555467;34.154220;284.6;511;24;0;1;1;1;0;1;0;0;1
05:00:45:774;CAPT.T.LE;42;32.94;118.2;1;0;367104030;15;128;0.1;0;-119.202190;34.148248;302.6;511;26;0;0;0;0;1;22
05:00:45:788;POLAR ADVENTURE;80;149.7;272.3;1;0;303031000;0;0;10.9;1;-122.311575;34.515532;152.3;153;26;0;0;0;0;3;
05:00:45:793;MAERSK EDINBURGH;74;81.03;120.5;1;0;219033000;0;0;12;0;-118.532118;33.728588;300.6;300;26;0;0;0;0;6;9
05:00:48:553;YM UNICORN;71;367.6;273.7;3;0;416464000;0;16;18.2;1;-126.132333;34.825333;120.1;117;24;0;0;0;0;158;0
05:00:48:571;MSC CHANNE;74;18.48;184.5;1;0;255805864;0;0;19;0;-119.707157;34.140948;105.3;105;26;0;0;0;0;2;9
05:00:50:735;CSL TECUMSEH;70;176.5;132.8;1;0;311056900;0;2;14.3;1;-117.634720;32.511497;181.7;179;26;0;0;0;0;0;22
05:00:50:770;HYUNDAI TOKYO;72;168;271.1;1;0;212347000;0;251;19.4;1;-122.634322;34.466485;92.8;92;25;0;0;0;0;1;22
05:00:50:770;YM UNICORN;71;367.6;273.7;3;0;416464000;0;242;18.2;1;-126.132167;34.825333;119.5;117;26;0;0;0;0;145;0
05:00:50:788;LEICESTER;80;126.4;124.8;1;0;538007181;0;3;11.7;1;-117.997752;33.232937;341;340;25;0;0;0;0;2;10
05:00:50:811;ISLANDER;60;26.57;111.2;1;0;366813530;0;128;0;0;-119.264645;34.244575;0;511;29;0;0;0;0;7;
05:00:50:822;CABO FROWARD;81;72.06;221.2;1;0;355321000;0;251;12.5;1;-120.425533;33.564183;323;325;29;0;0;0;0;3;
05:00:52:932;ALAN T;42;10.91;99.99;1;0;367104060;0;0;0.1;1;-119.499017;34.374957;239.4;65;30;0;0;0;0;0;23
05:00:52:945;BALTIC HIGHWAY;79;15.74;195.9;1;0;353729000;0;0;10.1;0;-119.749200;34.186083;286;285;27;0;0;0;0;3;
05:00:55:277;RICKMERS DALIAN;79;25.38;146.1;1;0;538090156;0;0;11;1;-119.470500;34.086667;105;105;29;1;0;0;1;4;11
05:00:57:402;SUEZ CANAL;71;277;270.7;1;0;636092654;0;0;13.2;1;-124.547117;34.467217;271;273;26;0;0;0;0;4;11
05:00:57:430;R/V SALLY RIDE;90;128.5;160.1;1;0;369140000;3;16;0;1;-119.043100;32.627637;242.2;314;29;0;0;0;0;6;11
05:00:57:445;MARDINIK;70;104;270.5;1;0;538003900;0;0;12.1;1;-121.511588;34.423253;270.4;277;33;0;0;0;0;6;12
05:00:57:466;RUBEN LASKER;90;67.83;244;3;0;369970573;3;129;0.9;1;-120.708255;33.909395;15;345;33;0;0;0;0;781;0
05:00:57:481;CSL TECUMSEH;70;176.5;132.8;1;0;311056900;0;8;14.3;1;-117.634742;32.511037;182.1;179;33;0;0;0;0;3;1
05:00:57:487;CABO FUJI;80;102;114.8;3;0;356696000;1;3;0;1;-118.131418;33.688203;349.1;273;37;0;0;0;0;5308;5
05:00:57:498;EVER LIVELY;74;106.6;269.8;1;0;563982000;0;7;15.2;1;-121.555997;34.402172;89.6;87;34;0;0;0;0;2;13
05:00:57:522;YM UNICORN;71;367.5;273.7;3;0;416464000;0;5;18.2;1;-126.131333;34.825000;118.8;117;35;0;0;0;0;0;0
05:00:57:540;MSC CHANNE;74;18.5;184.2;1;0;255805864;0;6;19;0;-119.705913;34.140668;105.1;105;38;0;0;0;0;4;14
05:01:00:258;5;0;538007181;2;9792266;V7XE6;LEICESTER;80;286;47;31;29;1;400768;125;US LGB;0
05:01:00:271;CSL TECUMSEH;70;176.5;132.8;1;0;311056900;0;247;14.3;1;-117.634748;32.510637;181.6;178;39;0;0;0;0;5;1
05:01:00:277;HYUNDAI TOKYO;72;168;271.1;1;0;212347000;0;0;19.4;1;-122.632913;34.466402;94.3;92;38;0;0;0;0;5;
05:01:00:277;NOT NAMED;00;118.4;119.7;1;0;369970637;0;128;6.9;0;-117.984743;33.435793;354.3;511;38;0;0;0;0;5;1
