"","mmsi","name","operator","com_score_reported","compliance score (calculated speed)","total distance (km)","average speed (knots)","average speed calculated (knots)","total distance (nautcal miles)","distance (nautcal miles) over 10 knots","distance (nautcal miles) 0-10 knots","distance (nautcal miles) 10-12 knots","distance (nautcal miles) 12-15 knots","distance (nautcal miles) over 15 knots","number_of_distinct_trips","gt","ship_type","ship_type_ihs","noaa compliance score (reported speed)","noaa compliance score (calculated speed)","grade","noaa_grade"
"42",431296000,"MOL COURAGE","Ocean Network Express Pte Ltd",100,68.7212873536004,146.4672767,9.42621951219512,9.44772180894309,79.0860313251019,1.19991944325,79.0860313251019,0,0,0,2,87013,71,"Container Ship (Fully Cellular)",100,68.7212873536004,"A+","A"
"43",240546000,"CAP PHILIPPE","Euronav NV",100,93.4398824446821,130.3364601,5.62093023255814,5.67926869867442,70.3760839862157,0,70.3760839862157,0,0,0,10,81324,89,"Crude Oil Tanker",100,93.4398824446821,"A+","A"
"44",367488370,"RACHEL","TradeWinds Towing LLC",100,88.665669526011,128.8522329,7.03123359580052,7.16676559055118,69.5746651199853,0,69.5746651199853,0,0,0,2,344,32,"Tug",100,88.665669526011,"A+","A"
"45",367488370,"RACHEL","TradeWinds Towing LLC",100,88.665669526011,128.8522329,7.03123359580052,7.16676559055118,69.5746651199853,0,69.5746651199853,0,0,0,2,344,52,"Tug",100,88.665669526011,"A+","A"
"46",367019310,"QUIN DELTA","Gregg Drilling & Testing",100,93.951478850719,99.7201936,6.96324200913242,6.98009666666667,53.8446165756752,0,53.8446165756752,0,0,0,3,116,90,"Drilling Ship",100,93.951478850719,"A+","A"
"47",565947000,"LORD VISHNU","NYK Line",100,98.4461194450451,75.7289546,5.91461538461538,5.972742,40.8903791389522,0,40.8903791389522,0,0,0,2,51917,70,"Vehicles Carrier",100,98.4461194450451,"A+","A"
"48",368784000,"LIBERTY PEACE","Liberty Maritime Corp",100,97.0714941068926,74.837343,7.64171779141104,7.43795564417178,40.408947214251,0,40.408947214251,0,0,0,2,58107,70,"Vehicles Carrier",100,97.0714941068926,"A+","A"
"49",366873510,"AMERICAN CHALLENGER","American Marine Corp",100,88.2543609898982,73.8964163,8.03864541832669,7.98752709163347,39.9008872560991,0,39.9008872560991,0,0,0,1,342,52,"Tug",100,88.2543609898982,"A+","A"
"50",431178000,"WORLD SWAN 2","Toyo Kaiun Co Ltd",100,74.0034555568092,73.5222177,8.35924369747899,8.42654386554622,39.6988361026389,0,39.6988361026389,0,0,0,2,39894,70,"Wood Chips Carrier",100,74.0034555568092,"A+","A"
"51",352981000,"HOKUETSU IBIS","Kawasaki Kisen Kaisha Ltd",100,63.5128683155749,73.5072974,9.50923694779116,9.54799955823293,39.6907797822118,0,39.6907797822118,0,0,0,1,49166,70,"Wood Chips Carrier",100,63.5128683155749,"A+","A"
"52",338752000,"OCEAN RANGER","Western Towboat Co",100,93.4662171468324,73.287682,7.19558359621451,7.22028895899054,39.572196909674,0,39.572196909674,0,0,0,1,333,32,"Tug",100,93.4662171468324,"A+","A"
