"","operator","ship_type_ihs","n"
"202","Hurtigruten Cruise AS","Passenger/Cruise",1
"203","Hyundai Glovis Co Ltd","Vehicles Carrier",21
"204","Hyundai Merchant Marine Co Ltd","Container Ship (Fully Cellular)",17
"205","Hyundai Merchant Marine Co Ltd","Crude Oil Tanker",1
"206","Iino Kaiun Kaisha Ltd","Bulk Carrier",1
"207","Iino Kaiun Kaisha Ltd","Chemical/Products Tanker",1
"208","Innersea Discoveries LLC","Passenger/Cruise",1
"209","Interlink Maritime Corp","Bulk Carrier",1
"210","Interunity Management Corp SA","Crude/Oil Products Tanker",1
"211","Intrepid Ship Management Inc","Articulated Pusher Tug",1
"212","Inui Global Logistics Co Ltd","Bulk Carrier",3
"213","Inui Global Logistics Co Ltd","Open Hatch Cargo Ship",1
"214","Ionic Shipping Mgt Inc","Bulk Carrier",1
"215","Iraq Govt Maritime Transport","General Cargo Ship",1
"216","IT International Telecom Inc","Cable Repair Ship",1
"217","Jal Pari Pte Ltd","Products Tanker",1
"218","Jazzy Shipmanagement Co","Bulk Carrier",1
"219","Jierui Shipping Co Ltd","Bulk Carrier",1
"220","K Line Bulk Shipping UK Ltd","Bulk Carrier",3
"221","K Line RoRo Bulk Ship Mgmt Co","Bulk Carrier",2
"222","K-Sea Operating LLC","Tug",1
"223","Kawasaki Kisen Kaisha Ltd","Bulk Carrier",1
"224","Kawasaki Kisen Kaisha Ltd","Vehicles Carrier",27
"225","Kawasaki Kisen Kaisha Ltd","Wood Chips Carrier",2
"226","Keiyo Kisen KK","Bulk Carrier",1
"227","Keizen Ship Management Co Ltd","Bulk Carrier",1
"228","Kirby Offshore Marine Op","Tug",1
"229","Kmarin","Bulk Carrier",1
"230","Kobe Shipmanagement Co Ltd","Open Hatch Cargo Ship",1
"231","Koch Shipping Pte Ltd","Chemical/Products Tanker",1
"232","Koch Shipping Pte Ltd","Crude Oil Tanker",1
"233","Korea Marine Transport Co Ltd","Container Ship (Fully Cellular)",1
"234","Kyoei Tanker Co Ltd","Bulk Carrier",1
"235","Last Straw Ltd","Fishing Vessel",1
"236","Latsco Marine Management Inc","LPG Tanker",1
"237","Lauritzen Bulkers A/S","Bulk Carrier",2
"238","Lauritzen Bulkers A/S","Open Hatch Cargo Ship",1
"239","Liberty Maritime Corp","Vehicles Carrier",1
"240","Lighthouse Navigation Co Ltd","Bulk Carrier",1
"241","Lindblad Expeditions LLC","Passenger/Cruise",3
"242","Liocensa Investments Ltd","Yacht",2
"243","Maersk A/S","Container Ship (Fully Cellular)",43
"244","Maersk Supply Service AS","Anchor Handling Tug Supply",2
"245","Magical Cruise Co Ltd","Passenger/Cruise",1
"246","Mansel Ltd","Crude Oil Tanker",1
"247","Mansel Pte Ltd","Chemical/Products Tanker",2
"248","Manson Construction Co","Trailing Suction Hopper Dredger",1
"249","Manson Construction Co","Tug",1
"250","Manta Maritime Ltd","Yacht",1
"251","Maple Leaf Shipping Co Ltd","Bulk Carrier",1
"252","Maran Gas Maritime Inc","LNG Tanker",1
