mmsi,shiptype,operator,year,cooperation_score,coop_score,grade,total_distance_km_under_10,percent_under_10_knots,total_distance_km_btwn_10_12,percent_10_12_knots,total_distance_km_btwn_12_15,percent_12_15_knots,total_distance_km_over_15,percent_over_15_knots,total_distance_km,total_distance_km_weird,avg_speed_knots,max_speed_knots,min_speed_knots,max_implied_speed_knots,min_implied_speed_knots,max_final_calculated_speed_knots,min_final_calculated_speed_knots,max_final_lenient_speed_knots,min_final_lenient_speed_knots
366562000,Container Ship (Fully Cellular),Matson Navigation Co Inc,2017,1.80%,1.8,F,12.3,1.80%,15.4,2.20%,77.7,11.10%,596.5,85%,701.9,0,19.7,21.4,16,170.262,0,57.825,0,21.4,0
266261000,Vehicles Carrier,Wallenius Wilhelmsen Logistics,2018,1.80%,1.8,F,3.4,1.80%,12.8,7%,97.4,53%,70.5,38.30%,183.9,0,14.4,15.9,5,35.369,0,35.369,0,15.6,0
566960000,Container Ship (Fully Cellular),APL LLC,2017,1.80%,1.8,F,11,1.80%,25.4,4.20%,82.8,13.60%,489.3,80.50%,607.8,0,17.6,19.3,11.4,189.471,0,48.383,0,19.24,0
636015994,Vehicles Carrier,CSAV,2019,1.80%,1.8,F,7.4,1.80%,2.8,0.70%,201.8,48.30%,205,49.10%,417.6,0,14.4,19.2,0.9,35.599,0.956,35.599,0.956,19.2,0.9
367134000,Chemical/Products Tanker,OSG Ship Management Inc,2017,1.80%,1.8,F,3.1,1.80%,0.7,0.40%,14,8.20%,153.7,89.90%,171,0,20.3,21.7,14.1,45.327,0,45.327,0,21.7,0
371716000,Open Hatch Cargo Ship,Toko Kaiun Kaisha Ltd,2018,1.80%,1.8,F,6.7,1.80%,52.7,14.30%,298.2,80.80%,11.8,3.20%,369,0,12.7,13.6,6.3,69.83,0,26.32,0,13.6,0
538004555,Bulk Carrier,SwissMarine Services SA,2018,1.80%,1.8,F,5.8,1.80%,162.7,51.70%,136.2,43.30%,9.2,2.90%,314.8,0,12.1,14,10.3,35.775,0,35.775,0,13.8,0
636016200,Container Ship (Fully Cellular),Hyundai Merchant Marine Co Ltd,2018,1.80%,1.8,F,17.3,1.80%,41.1,4.20%,208.4,21.50%,704.6,72.70%,969.1,0,16,20.3,10.3,79.901,0,54.313,0,20.3,0
248925000,Container Ship (Fully Cellular),APL LLC,2018,1.70%,1.7,F,23.8,1.70%,113.1,8%,281.7,19.90%,993.9,70.40%,1412.2,0,16.1,23.8,9,39.868,0,39.868,0,23.751,0
212700000,Container Ship (Fully Cellular),TS Lines Co Ltd,2018,1.70%,1.7,F,6.2,1.70%,36.4,9.90%,322.4,87.50%,3.1,0.80%,368.3,0,12.9,14.6,4.8,15.704,0,15.704,0,14.547,0
